Name,Status,Price,Stars,Ratings,Units,"Unit Price","regex method"
"mSATA SSD LOT: INTEL 240GB, VISIONTEK 240GB, VISIONTEK 120GB UNTESTED ""AS IS""","Parts Only",$49.87,Tim,0,,-1,
"Lot of 5 SanDisk X400 512GB SATA III 2.5"" Internal SSD Solid State Drive",Refurbished,$496.95,0,0,5,99.39,2
"Lot Of 4 Smart HP 920GB TXA2D20920GA60HP SAS 2.5 SSD Drive",Pre-Owned,$500.00,0,0,4,125,2
"LOT OF 10 Intel Pro 1500 Series 240GB (SSDSC2BF240A4H) SSD 2.5"" 6gb/s SATA",Pre-Owned,$329.99,LOT,0,10,32.999,2
"Lot of 10 IBM SSD SATA Drive 5000 2.5 43W7678 15.8GB 1.5Gb/s N44E9159 Solid","Open box",$59.95,0,0,10,5.995,2
"Lot of 3 Samsung 850 EVO 250GB 2.5-Inch SATA III Internal SSD (MZ-75E250B/AM)","Open box",$120.00,5.0,0,3,40,2
"as-is SP S60 SSD 60GB 2.5"" SATA lot of 2","Parts Only",$5.00,Tim,0,2,2.5,2
"Lot of 5 Assorted Brands 128GB 2.5"" SATA III SSD Solid State Drive",Pre-Owned,$124.99,0,0,5,24.998,2
"LOT OF 2 Intel DC S4600 2X480 GB SATA 2.5"" 6Gbps SSD NO TRAY",Pre-Owned,$270.00,0,0,2,135,2
"960GB SATA 6Gb/s Micron SSD M500 2.5"" MTFDDAK960MAV-1AE12ABYY LOT OF 20",Pre-Owned,"$1,400.00",0,0,20,70,2
"Lot of 20 - Samsung 840 Pro 128GB SSD - DELL P/N 0P9P2T - OEM MZ7PD128 - 1YR WTY",Refurbished,$420.00,0,0,20,21,2
"Lot of 6x Netapp 100GB SSD 49135-02 Solid State 6Gbps Drives LB106S 2.5",Pre-Owned,$342.00,Lot,0,6,57,2
"Lot of 7 - Samsung 512GB PM871 mSATA SSD MZ-MLN512D",Pre-Owned,$475.00,0,0,7,67.8571428571429,2
"Lot of 10 ( ten ) Micron M600 1TB SSD Solid State Drive 2.5"" MTFDDAK1T0MBF SATA3",Pre-Owned,$999.99,0,0,10,99.999,2
"Lot of 10 Intel 120GB 2.5"" SATA II SSD Solid State Drive",Pre-Owned,$249.99,0,0,10,24.999,2
"Lot 13 Dell STec 16GB SSD Solid State Hard Drive 5mm PATA PCI-E 0X422G X422G",Pre-Owned,$119.99,0,0,13,9.23,2
"Micron Realssd P300 MTFDDAC100SAL-1N1AA, SSD 2.5 100GB SATA 6Gb/s SSD LOT OF 10",Pre-Owned,$280.00,0,0,10,28,2
"Lot of 2 NEW SanDisk SSD PLUS 120GB SATA III 2.5"" 7mm SDSSDA-120G","Open box",$47.00,0,0,2,23.5,2
"Lot of 25 Assorted Brands 128GB 2.5"" SATA III SSD Solid State Drive",Pre-Owned,$499.99,0,0,25,19.9996,2
"Lot of 7 SanDisk X110 128GB Solid State Disk 2.5"" SSD SATA III 6GB/s SD6SB1M-128",Pre-Owned,$149.00,5.0,0,7,21.2857142857143,2
"adata 128GB SSD mini sata industrial SSD (LOT of 2)","Brand New",$350.00,0,0,2,175,2
"Lot of - 4 Intel SSD 320 Series 160GB SATA 2.5"" SSDSA2CW160G3",Pre-Owned,$107.00,0,0,,-1,
"Lot of 10 Samsung SSD 512GB SM951 M.2 NVMe 2280 SSDMZVPV512HDGL MZ-VPV5120 OEM",Refurbished,"$1,490.00",0,0,10,149,2
"Lot of 10 - intel SSD S3500 Series 80GB - SATA - 2.5"" - SSDSC2BB080G4",Pre-Owned,$200.00,0,0,10,20,2
"SanDisk X210 512GB SSD SD6SB2M512G1022 SSD HARD DRIVE LOT OF 10",Pre-Owned,$500.00,0,0,10,50,2
"Lot of (22)! Intel SSD DC S3500 Cisco 120GB SSD UCS-SD120G0KS2-EV",Pre-Owned,$999.99,0,0,22,45.4540909090909,2
"LOT OF 5 Intel DC S4600 SSDSC2KG960G7 5X960GB  2.5"" 7mm SATA 6Gbps SSD",Pre-Owned,$930.00,0,0,5,186,2
"Projector, SSD, Hard Drive, Portable Battery, Electronics Lot",Pre-Owned,$100.00,0,0,,-1,
"Lot of 4 Apple Samsung Solid State Drive MZ-CPA0640/0A2 64GB",Pre-Owned,$129.99,0,0,4,32.4975,2
